gene	term	estimate	std.error	statistic	p.value	conf.low	conf.high
7SK	log_expr	2.076129148981167	0.5814875967698465	3.5703756374409843	3.5646966626996844e-4	1.0911032280379285	3.402994621198556
7SK:ENSG00000260682	log_expr	2.846378428479815	0.8235457962610262	3.4562478995128565	5.477513135752124e-4	1.5261073996356584	4.798123162372001
A1BG	log_expr	-1.5201570036927141	0.49567174558089694	-3.066862328235359	0.0021631846272955157	-2.667718257448891	-0.6806806558569051
A1BG-AS1	log_expr	0.47234200585038605	0.3441253241755604	1.3725871729492773	0.16988072177833355	-0.1741929440847552	1.2003281830049983
A1CF	log_expr	1.6844068630360935	0.9835540196305493	1.7125717849933695	0.08679134773537844	0.15482040986858514	4.122147896629157
A2M	log_expr	0.607808210721773	0.4586803885739759	1.3251236064646914	0.1851301576665837	-0.26658946280156354	1.5583524666919686
A2M-AS1	log_expr	0.29653733041925034	0.4852578935979209	0.6110922343181042	0.5411385206055188	-0.6506172902143563	1.2822997307536432
A2ML1	log_expr	0.5875990037117677	0.4892028154987606	1.2011357766056363	0.22969853704218948	-0.14464619511544954	1.7083599294822498
A2MP1	log_expr	-0.05765527822895568	0.33130423196307685	-0.1740251788736017	0.8618456742690289	-0.7175224140838709	0.5966838395875966
A4GALT	log_expr	-2.3726595524043557	0.6636669057945396	-3.575075887750974	3.5012632380019513e-4	-3.965047830059425	-1.3048588349568393
A4GNT	log_expr	2.309683706370704	1.0008020842032501	2.307832630274216	0.02100844729109774	0.42312413641900404	4.385038332485702
AAAS	log_expr	-2.156586693627207	0.7455146642844952	-2.8927488578604725	0.003818865183069993	-3.845457646305822	-0.8783737667954593
AACS	log_expr	-3.309901188343286	0.9475170184269105	-3.4932366637999386	4.772033844520094e-4	-5.513837817997919	-1.7295270760852677
AADAC	log_expr	2.8086778862787867	1.4175208112880313	1.9814015172917845	0.04754626375111367	0.4678747113523592	6.102366364904026
AADACL2	log_expr	1.3125264928449913	1.2872263354799507	1.0196547853844269	0.3078922124018658	-0.21094284257637635	4.156020288024502
AADACL3	log_expr	-0.03631965965479114	0.5700901253876007	-0.06370862787721088	0.9492022346530186	-1.1949427828390258	1.1127360910890067
AADAT	log_expr	-0.5499499323318912	0.48499713556328744	-1.1339240832694113	0.2568263939756323	-1.6111329570114337	0.3422768206628094
AAED1	log_expr	4.652956835791774	1.2717448102639204	3.6587189491468526	2.53479132393643e-4	2.5671605304883287	7.637219872343156
AAGAB	log_expr	4.652287245932989	1.2827462737476756	3.626817977292463	2.869354138726473e-4	2.462876513185943	7.543527746889114
AAK1	log_expr	1.9157100919339565	0.895220229882684	2.1399316369168786	0.03236029191841134	0.2571528351315882	3.8168341309631826
AAMDC	log_expr	0.18600226975591674	0.3212466529287738	0.5790014247935427	0.5625882117943378	-0.43688379781331493	0.8760436032837421
AAMP	log_expr	-5.5063126962881155	1.4347145135061523	-3.837915239898006	1.2408329470553226e-4	-8.834094155913805	-3.108702368908333
AAR2	log_expr	-2.581428092820525	1.0027484244342018	-2.5743526790152664	0.010042784521658677	-4.838497680871868	-0.8303144086246897
AARD	log_expr	4.784224481042614	1.3286848874311925	3.600721680738143	3.1733513101901126e-4	2.3893899670708785	7.657163639111769
AARS	log_expr	-2.873666441475146	0.9236376562360236	-3.1112486829367834	0.0018629797629822907	-4.890830553291176	-1.2212677296764392
AARS2	log_expr	-3.2294597931281226	0.9139585128783413	-3.5334862005470504	4.101174987597615e-4	-5.353326543533294	-1.7160933713551916
AARSD1	log_expr	-3.6967256104391426	0.9352555450794754	-3.952636934245608	7.72946698310185e-5	-5.846006573278645	-2.113515752026869
AASDH	log_expr	5.241348123702221	1.618201822780784	3.2389953156122857	0.0011995154352227397	2.6862637809263896	9.069880873396563
AASDHPPT	log_expr	3.4426612210689425	0.960638950587116	3.5837202093095257	3.3873492993430923e-4	1.8065545093395476	5.633424078678678
